ID	Empl Rcd#	Eff Date	Sequence	Deptid	Job Code	Entry Date	Position	Status	Action	Action Dt	Reason	Location	Empl Class	FTE	Group	Comp Rate	Comp Freq	Grade	Step	Sal Plan	Annual Rt	Union Seniority Date	Stnd Hrs/Wk	Union Code	Job Indicator	Step Entry Date	Type	Orig Hire Date
000829	1	11/16/2006	0	101717	S85008	10/26/2004	00024407	T	TER	12/20/2006	AWL	BPS161	Q	1.000000	BIW	11.260000	H	1	1	SLM	8782.800		15.00	SLM	P	09/30/1987	E	03/13/1963
001866	1	01/01/2017	1	101295	S70100	11/12/1992	00014448	R	DTA	01/09/2017	REM	BPS151	Q	1.000000	MTH	11.890000	H	1	1	SLM	9274.200		1.00	SLM	P	11/12/1992	E	09/09/1974
002014	1	02/27/2008	0	101434	S70101	12/18/2000	00101434	T	DTA	02/27/2008	JIN	BPS163	3	0.000000	BIW	6.750000	H	1	0	SLM	5265.000		15.00	EXO	S	12/18/2000	H	06/01/1973
002014	2	02/27/2008	0	101324	S70101	12/18/2000	00101324	T	DTA	02/27/2008	JIN	BPS162	3	0.000000	BIW	6.750000	H	1	0	SLM	5265.000		15.00	EXO	S	12/18/2000	H	06/01/1973
007305	1	09/01/2018	1	101641	S30243	08/24/2017	00013366	A	PAY	01/17/2019	SPG	BPS180	2	1.000000	B21	2100.792640	B	21	9	SG2	54620.609		40.00	AGU	P	09/01/2018	S	09/26/1990
007305	2	02/08/2008	0	101355	S30142	01/24/2001	00025208	T	DTA	02/08/2008	JIN	BPS097	2	0.200000	BW3	10.988500	H	13	1	SG1	4571.216		8.00	AGU	S	01/16/2001	E	09/26/1990
007305	700	08/02/2002	0	101018	S00124	07/08/2002	00025821	T	TER	06/20/2002	SUM	SCMAIL	Q	0.000000	BW2	12.450000	H		0		12948.000		20.00	EXO	S		E	09/26/1990
007305	800	06/30/2013	1	101030	WCBPS1	06/29/2013	00000065	T	TER	07/08/2013	WCP	WCMAIL	Q	1.000000	WC4	0.000000	W		0		0.000		35.00		S		S	09/26/1990
008269	700	06/25/2007	1	101097	S80135	06/25/2007	00025843	T	TER	06/20/2007	SUM	SCMAIL	Q	0.000000	BW2	12.000000	H		0		12480.000		20.00	EXO	S		E	10/10/1979
008448	0	03/03/2014	0	101700	S85001	01/28/2013	00000001	T	TER	03/03/2014	XAP	SCMAIL	3	0.030000	SUB	0.000000	H		0		0.000	01/01/1900	1.00	BT2	P		H	09/28/1987
009551	600	12/18/2016	1	101105	S20212	08/23/2014	00051102	A	DTA	12/29/2016	AMU	BPS051	Q	1.000000	BW5	0.000000	H		0		0.000		1.00	EXO	S		H	06/09/1986
009813	1	07/24/2001	0	101700	S85001	07/24/2001	00000001	T	TER	07/30/2001	RES	SCMAIL	3	0.000000	SUB	0.000000	H		0		0.000		1.00	BT2	P		H	01/24/1990
010023	0	10/04/2014	0	101641	S00415	09/08/1998	00015998	D	TER	12/10/2015	DEA	BPS180	B	1.000000	B21	3106.730769	B	B	20	SM1	80775.000		40.00	BPS	P	07/01/2014	S	09/03/1974
010023	600	08/21/2004	0	101105	S20211	04/15/2003	00026564	T	TER	08/27/2004	XAP	SCMAIL	Q	0.000000	BIW	54.120000	H		0		2814.240		1.00	EXO	S		H	09/03/1974
010029	800	03/30/2012	0	101030	WCBPS1	04/03/2010	00000065	T	TER	03/30/2012	WCP	WCMAIL	Q	1.000000	WC4	857.380000	W		0		44583.760		35.00		S		S	09/04/1974
010109	1	07/01/2009	0	101040	S40020	09/02/2003	00032703	T	TER	06/30/2009	LOF	BPS181	Q	1.000000	WK4	12.000000	H		0	SCA	624.000		1.00	SCA	P		H	09/23/1972
010117	800	01/07/2004	0	101715	WCBPS1	06/16/2001	00000065	T	TER	01/07/2004	WCP	WCMAIL	Q	0.000000	WC4	272.600000	W		0		14175.200		35.00		P		S	09/03/1974
010172	0	03/25/2019	0	101326	S70100	03/25/2019	00011369	A	REH	03/29/2019	REH	BPS122	Q	1.000000	BIW	14.665894	H	1	1	SLM	11439.397	01/01/1900	15.00	SLM	P	03/25/2019	E	11/30/1987
010184	700	08/14/2010	0	101170	S00120	07/06/2010	00025835	T	TER	06/28/2010	SUM	SCMAIL	Q	0.000000	BW2	40.920000	H		0		53196.000		25.00	EXO	S		E	11/30/1987
010215	1	02/11/2008	0	101097	S80106	09/09/1998	00000009	T	DTA	02/11/2008	JIN	SCMAIL	3	0.000000	WK4	8.000000	H	1	1	CWS	416.000		1.00	EXO	S	09/01/2000	H	10/07/1974
010227	700	08/02/2014	0	101170	S00124	07/02/2012	00025836	T	TER	07/31/2014	SUM	BPS061	8	0.000000	BW2	18.500000	H		0		24050.000		25.00	EXO	S		E	10/07/1974
010257	1	02/11/2008	0	101105	S20211	01/05/2001	00026564	T	DTA	02/11/2008	JIN	SCMAIL	Q	0.000000	BIW	0.000000	H		0		0.000		1.00	EXO	S	08/26/1991	H	12/11/1974
010257	2	02/11/2008	0	101105	S20211	01/05/2001	00026564	T	DTA	02/11/2008	JIN	SCMAIL	Q	1.000000	BIW	0.000000	H		0		0.000		1.00	EXO	S	09/01/1987	H	12/11/1974
010257	4	02/11/2008	0	101105	S20211	03/25/2000	00026564	T	DTA	02/11/2008	JIN	SCMAIL	Q	1.000000	BIW	0.000000	H		0		0.000		1.00	EXO	S		H	12/11/1974
010257	600	04/01/2017	0	101105	S20212	08/23/2014	00051102	T	TER	03/31/2017	XAP	BPS051	Q	1.000000	BW5	0.000000	H		0		0.000		1.00	EXO	S		H	12/11/1974
010270	700	03/28/2003	0	101128	S00098	07/08/2002	00028039	T	TER	03/28/2003	OTH	SCMAIL	Q	0.000000	BW2	31.900000	H		0		1658.800		1.00	EXO	S		H	01/02/1975
010319	1	01/03/2002	0	101717	S85008	09/05/2001	00024407	T	TER	01/03/2002	RES	BPS027	L	1.000000	BIW	13.651712	H	13	7	SG1	28395.560	09/09/1998	40.00	AGU	P	09/05/2001	E	09/26/1938
010365	700	07/06/2001	1	101018	S00120	07/09/2001	00025820	T	TER	06/09/2001	SUM	SCMAIL	Q	0.000000	BW2	30.670000	H		0		39871.000		25.00	EXO	P		E	11/13/1972
010391	600	02/27/2019	0	101105	S20212	08/23/2014	00051102	T	TER	02/27/2019	XAP	BPS051	Q	1.000000	BW5	78.380000	H		0		4075.760		1.00	EXO	S		H	02/27/1989
010498	800	05/24/2005	0	101715	WCBPS1	05/04/2002	00000065	T	TER	05/26/2005	WCP	WCMAIL	Q	0.000000	WC4	269.290000	W		0		14003.080		35.00		S		S	09/04/1975
010499	1	08/28/2010	0	101322	S30142	09/01/2008	00025300	T	TER	07/22/2010	SRN	BPS018	2	0.300000	B24	377.604096	B	15B	8	SG2	32725.688		12.00	AGU	S	02/26/2008	E	02/26/2001
010524	0	08/23/2014	1	101352	S20315	06/07/2010	00049157	T	TER	08/27/2014	RES	BPS012	4	1.000000	B20	3453.500000	B	8	7	ST1	89791.000	09/01/2007	35.00	BT3	P	08/24/2013	S	11/27/1989
010524	700	08/07/2010	0	101107	S00120	06/24/2010	00037573	T	TER	06/24/2010	SUM	SCMAIL	Q	0.930000	BW2	40.920000	H		0		69154.800		32.50	EXO	S		E	11/27/1989
010600	600	02/27/2008	0	101105	S20211	11/30/2001	00026564	T	DTA	02/27/2008	JIN	SCMAIL	Q	0.000000	BIW	54.120000	H		0		2814.240		1.00	EXO	S		H	01/27/1989
